symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay,sector
STLD,STEEL DYNAMICS INC,4/20/26,3/31/26,2.79,USD,post-market,Materials
CB,CHUBB LTD,4/21/26,3/31/26,6.47,USD,post-market,Financials
COF,CAPITAL ONE FINANCIAL CORP,4/21/26,3/31/26,4.63,USD,post-market,Financials
DGX,QUEST DIAGNOSTICS INC,4/21/26,3/31/26,2.34,USD,pre-market,Health Care
DHI,D.R. HORTON INCORPORATED,4/21/26,3/31/26,2.15,USD,pre-market,Consumer Discretionary
DHR,DANAHER CORP,4/21/26,3/31/26,1.94,USD,pre-market,Health Care
EFX,EQUIFAX INC,4/21/26,3/31/26,1.69,USD,pre-market,Industrials
EQT,EQT CORP,4/21/26,3/31/26,2.23,USD,post-market,Energy
GE,GE AEROSPACE,4/21/26,3/31/26,1.63,USD,pre-market,Industrials
GPC,GENUINE PARTS COMPANY,4/21/26,3/31/26,1.81,USD,pre-market,Consumer Discretionary
HAL,HALLIBURTON COMPANY,4/21/26,3/31/26,0.49,USD,pre-market,Energy
IBKR,INTERACTIVE BROKERS GROUP INC - CLASS A,4/21/26,3/31/26,0.62,USD,post-market,Financials
ISRG,INTUITIVE SURGICAL INC,4/21/26,3/31/26,1.63,USD,post-market,Health Care
MMM,3M COMPANY,4/21/26,3/31/26,2.01,USD,pre-market,Industrials
MSCI,MSCI INCORPORATED,4/21/26,3/31/26,4.37,USD,pre-market,Financials
NOC,NORTHROP GRUMMAN CORP,4/21/26,3/31/26,6.08,USD,pre-market,Industrials
NTRS,NORTHERN TRUST CORP,4/21/26,3/31/26,2.37,USD,pre-market,Financials
RTX,RTX CORP,4/21/26,3/31/26,1.52,USD,pre-market,Industrials
SYF,SYNCHRONY FINANCIAL,4/21/26,3/31/26,2.27,USD,pre-market,Financials
TSCO,TRACTOR SUPPLY COMPANY,4/21/26,3/31/26,0.35,USD,pre-market,Consumer Discretionary
UAL,UNITED AIRLINES HOLDINGS INC,4/21/26,3/31/26,1.08,USD,post-market,Industrials
UNH,UNITEDHEALTH GROUP INC,4/21/26,3/31/26,6.48,USD,pre-market,Health Care
WRB,W.R. BERKLEY CORPORATION,4/21/26,3/31/26,1.13,USD,post-market,Financials
BA,BOEING COMPANY,4/22/26,3/31/26,-0.86,USD,pre-market,Industrials
BSX,BOSTON SCIENTIFIC CORP,4/22/26,3/31/26,0.8,USD,pre-market,Health Care
CCI,CROWN CASTLE INCORPORATED,4/22/26,3/31/26,0.96,USD,post-market,Real Estate
CME,CME GROUP INCORPORATED,4/22/26,3/31/26,3.25,USD,pre-market,Financials
CSX,CSX CORP,4/22/26,3/31/26,0.39,USD,post-market,Industrials
ELV,ELEVANCE HEALTH INC,4/22/26,3/31/26,10.61,USD,pre-market,Health Care
GEV,GE VERNOVA LLC,4/22/26,3/31/26,1.79,USD,pre-market,Industrials
GL,GLOBE LIFE INCORPORATED,4/22/26,3/31/26,3.46,USD,post-market,Financials
IBM,INTERNATIONAL BUSINESS MACHINES CORP,4/22/26,3/31/26,1.81,USD,post-market,Information Technology
KMI,KINDER MORGAN INC - CLASS P,4/22/26,3/31/26,0.38,USD,post-market,Energy
LRCX,LAM RESEARCH CORP,4/22/26,3/31/26,1.36,USD,post-market,Information Technology
LUV,SOUTHWEST AIRLINES COMPANY,4/22/26,3/31/26,0.45,USD,post-market,Industrials
LVS,LAS VEGAS SANDS CORP,4/22/26,3/31/26,0.76,USD,post-market,Consumer Discretionary
MAS,MASCO CORPORATION,4/22/26,3/31/26,0.88,USD,pre-market,Industrials
MCO,MOODY`S CORP,4/22/26,3/31/26,4.28,USD,pre-market,Financials
NOW,SERVICENOW INC,4/22/26,3/31/26,0.55,USD,post-market,Information Technology
OTIS,OTIS WORLDWIDE CORP,4/22/26,3/31/26,0.91,USD,pre-market,Industrials
PKG,PACKAGING CORPORATION OF AMERICA,4/22/26,3/31/26,2.17,USD,post-market,Materials
PM,PHILIP MORRIS INTERNATIONAL INC,4/22/26,3/31/26,1.82,USD,pre-market,Consumer Staples
RJF,RAYMOND JAMES FINANCIAL INC,4/22/26,3/31/26,2.76,USD,post-market,Financials
ROL,ROLLINS INCORPORATED,4/22/26,3/31/26,0.24,USD,post-market,Industrials
T,AT&T INC,4/22/26,3/31/26,0.55,USD,pre-market,Communication Services
TDY,TELEDYNE TECHNOLOGIES INC,4/22/26,3/31/26,5.47,USD,pre-market,Information Technology
TEL,TE CONNECTIVITY PLC,4/22/26,3/31/26,2.7,USD,pre-market,Information Technology
TSLA,TESLA INC,4/22/26,3/31/26,0.21,USD,post-market,Consumer Discretionary
TXN,TEXAS INSTRUMENTS INC,4/22/26,3/31/26,1.37,USD,post-market,Information Technology
URI,UNITED RENTALS INC,4/22/26,3/31/26,9.01,USD,post-market,Industrials
